sal_code,pop
"2700217",194
"2700337",263
"2700644",529
"2700483",372
"2700486",373
"2700634",515
"2700638",521
"2700323",255
"2700361",278
"2700317",253
"2700176",173
"2700285",233
"2700197",185
"2700222",198
"2700543",422
"2700065",93
"2700087",118
"2700748",816
"2700049",77
"2700117",134
"2700322",255
"2700445",335
"2700470",362
"2700224",199
"2700380",291
"2700511",396
"2700509",393
"2700291",238
"2700597",470
"2700717",675
"2700451",347
"2700492",378
"2700393",302
"2700534",417
"2700173",172
"2700249",211
"2700043",72
"2700648",537
"2700349",270
"2700432",325
"2700357",275
"2700344",267
"2700232",202
"2700237",205
"2700286",233
"2700301",244
"2700021",35
"2700586",463
"2700656",547
"2700479",371
"2700564",443
"2700567",449
"2700671",588
"2700716",672
"2700686",612
"2700229",200
"2700563",441
"2700330",259
"2700554",431
"2700118",134
"2700155",159
"2700063",92
"2700345",267
"2700258",215
"2700136",145
"2700351",271
"2700541",421
"2700591",466
"2700310",249
"2700408",313
"2700106",127
"2700035",62
"2700079",105
"2700546",423
"2700577",454
"2700204",188
"2700414",316
"2700161",163
"2700141",146
"2700261",216
"2700623",497
"2700616",492
"2700605",481
"2700326",255
"2700276",225
"2700500",385
"2700442",332
"2700060",87
"2700510",396
"2700228",199
"2700039",66
"2700411",315
"2700282",231
"2700179",175
"2700540",420
"2700051",80
"2700469",361
"2700274",222
"2700245",208
"2700468",360
"2700138",145
"2700311",249
"2700480",371
"2700154",158
"2700084",112
"2700241",207
"2700415",317
"2700280",227
"2700196",184
"2700369",283
"2700531",414
"2700271",221
"2700036",62
"2700165",165
"2700188",181
"2700236",204
"2700758",884
"2700219",196
"2700159",162
"2700260",215
"2700193",183
"2700386",296
"2700281",227
"2700557",433
"2700156",160
"2700399",306
"2700694",627
"2700235",203
"2700248",210
"2700257",214
"2700379",290
"2700339",264
"2700360",276
"2700095",120
"2700182",178
"2700312",249
"2700135",144
"2700175",172
"2700109",128
"2700189",181
"2700341",265
"2700113",131
"2700072",99
"2700387",297
"2700314",250
"2700295",239
"2700162",163
"2700254",212
"2700185",179
"2700255",213
"2700211",191
"2700102",125
"2700527",414
"2700070",96
"2700350",270
"2700130",141
"2700464",356
"2700104",126
"2710188",197
"2710001",11
"2710002",12
"2710003",12
"2710004",13
"2710006",15
"2710007",16
"2710008",17
"2710009",17
"2710010",20
"2710011",21
"2710012",24
"2710014",26
"2710015",27
"2710016",27
"2710017",27
"2710020",35
"2710021",36
"2710025",46
"2710031",50
"2710032",52
"2710036",56
"2710051",66
"2710052",74
"2710058",81
"2710103",135
"2710162",178
"2710207",214
"2710478",404
"2710071",97
"2710085",120
"2710277",265
"2710068",94
"2710056",78
"2710330",305
"2710513",434
"2710263",255
"2710275",264
"2710318",293
"2710228",231
"2710333",309
"2710422",357
"2710234",235
"2710360",321
"2710470",400
"2710631",572
"2710437",371
"2710205",211
"2710264",255
"2710303",284
"2710144",165
"2710474",403
"2710583",510
"2710607",536
"2710505",426
"2710044",62
"2710247",245
"2710364",323
"2710108",137
"2710469",398
"2710369",326
"2710546",474
"2710310",288
"2710134",158
"2710034",53
"2710378",330
"2710468",396
"2710638",585
"2710059",83
"2710712",786
"2710426",361
"2710553",479
"2710477",403
"2710644",592
"2710651",604
"2710136",159
"2710661",615
"2710706",750
"2710256",252
"2710389",336
"2710635",583
"2710109",137
"2710251",248
"2710047",64
"2710418",355
"2710453",380
"2710473",402
"2710242",240
"2710399",343
"2710313",292
"2710274",263
"2710037",57
"2710105",136
"2710672",640
"2710543",472
"2710038",57
"2710634",577
"2710079",111
"2710187",195
"2710448",378
"2710339",311
"2710627",566
"2710491",412
"2710408",349
"2710587",519
"2710249",247
"2710184",194
"2710320",296
"2710204",207
"2710281",266
"2710223",227
"2710238",236
"2710410",352
"2710218",223
"2710322",297
"2710065",90
"2710354",317
"2710433",365
"2710601",533
"2710500",423
"2710273",263
"2710584",513
"2710624",559
"2710258",253
"2710454",380
"2710146",171
"2710027",47
"2710342",312
"2710387",333
"2710081",114
"2710649",602
"2710319",295
"2710328",301
"2710727",962
"2710445",377
"2710659",611
"2710376",329
"2710284",267
"2710450",380
"2710053",75
"2710582",510
"2710636",584
"2710512",433
"2710687",669
"2710653",607
"2710362",322
"2710440",372
"2710462",389
"2710515",441
"2710005",15
"2710472",402
"2710343",312
"2710628",568
"2710294",277
"2710018",30
"2710041",61
"2710307",288
"2710395",340
"2710125",151
"2710067",94
"2710363",322
"2710035",54
"2710464",390
"2710656",609
"2710266",257
"2710465",393
"2710611",538
"2710194",203
"2710190",199
"2710276",265
"2710169",185
"2710208",214
"2710552",478
"2710685",665
"2710372",328
"2710400",343
"2710379",330
"2710658",611
"2710370",327
"2710289",272
"2710282",266
"2710412",353
"2710652",605
"2710175",189
"2710427",362
"2710602",534
"2710394",340
"2710643",591
"2710230",232
"2710642",589
"2710229",231
"2710158",176
"2710259",253
"2710213",219
"2710323",299
"2710344",312
"2710523",447
"2710617",549
"2710612",540
"2710132",157
"2710091",124
"2710106",136
"2710411",352
"2710152",175
"2710199",205
"2710304",284
"2710567",492
"2710683",662
"2710711",782
"2710660",615
"2710695",691
"2710705",748
"2710710",779
"2710720",857
"2710724",932
"2710729",2320
"2710023",42
"2710168",185
"2710681",660
"2710409",352
"2710480",405
"2710622",555
"2710451",380
"2710286",270
"2710393",340
"2710578",509
"2710647",599
"2710689",673
"2710519",444
"2710562",490
"2710604",535
"2710663",618
"2710693",685
"2710722",890
"2710723",897
"2710725",936
"2710043",62
"2710608",536
"2710356",319
"2710577",507
"2710596",530
"2710728",1099
"2710597",529
"2710675",646
"2710680",659
"2710688",670
"2710700",702
"2710709",777
"2710718",845
"2710726",936
"2710537",461
"2710678",655
"2710691",677
"2710701",710
"2710704",746
"2710707",756
"2710350",315
"2710716",835
"2710380",331
"2710150",173
"2710613",545
"2710641",589
"2710721",860
"2710713",823
"2710337",311
"2710377",330
"2710564",491
"2710686",666
"2710670",634
"2710673",644
"2710719",850
"2710435",370
"2710182",193
"2710599",530
"2710600",532
"2710671",637
"2710676",648
"2710703",744
"2710417",355
"2710633",576
"2710714",827
"2710589",521
"2710530",452
"2710094",126
"2710092",125
"2710458",386
"2710580",509
"2710353",316
"2710086",120
"2710096",127
"2710392",340
"2710278",265
"2710140",162
"2710148",172
"2710498",423
"2710423",358
"2710029",48
"2710048",64
"2710348",313
"2710555",480
"2710438",371
"2710421",357
"2710089",122
"2710285",268
"2710585",513
"2710049",64
"2710093",125
"2710290",273
"2710099",132
"2710456",384
"2710648",599
"2710575",505
"2710335",309
"2710526",449
"2710159",177
"2710231",233
"2710532",453
"2710447",378
"2710603",534
"2710696",692
"2710489",412
"2710121",148
"2710650",604
"2710501",424
"2710321",296
"2710227",230
"2710576",506
"2710428",363
"2710315",292
"2710173",188
"2710296",278
"2710123",149
"2710226",229
"2710183",193
"2710657",611
"2710509",430
"2710130",156
"2710496",421
"2710141",162
"2710176",189
"2710386",333
"2710449",379
"2710381",331
"2710013",25
"2710441",372
"2710471",402
"2710533",457
"2710414",354
"2710590",523
"2710253",249
"2710074",104
"2710561",489
"2710443",374
"2710211",217
"2710295",277
"2710064",89
"2710120",147
"2710629",568
"2710316",292
"2710516",441
"2710334",309
"2710593",525
"2710420",356
"2710239",236
"2710297",278
"2710646",595
"2710241",239
"2710232",233
"2710554",480
"2710396",341
"2710429",364
"2710452",380
"2710664",624
"2710246",244
"2710717",844
"2710563",490
"2710332",308
"2710117",145
"2710268",260
"2710143",164
"2710045",63
"2710640",586
"2710267",257
"2710260",253
"2710524",448
"2710483",406
"2710565",491
"2710669",632
"2710571",496
"2710610",537
